LSOA11CD,LSOA11NM,Youth(<18),Elderly(>64),No_car_household,Minority_population,Unemployed/Below_poverty
E01002875,Kensington and Chelsea 007E,227,231,300,269,181
E01002876,Kensington and Chelsea 003A,368,249,314,372,309
E01002877,Kensington and Chelsea 003B,489,168,380,873,502
E01002878,Kensington and Chelsea 003C,248,186,535,533,310
E01002879,Kensington and Chelsea 005C,338,189,491,809,443
E01002880,Kensington and Chelsea 005D,378,155,465,958,487
E01002881,Kensington and Chelsea 005E,354,140,315,560,419
E01002882,Kensington and Chelsea 006A,235,186,379,245,178
E01002883,Kensington and Chelsea 006B,302,312,403,392,285
E01002884,Kensington and Chelsea 006C,150,108,481,387,301
E01002885,Kensington and Chelsea 006D,157,108,693,376,222
E01002886,Kensington and Chelsea 006E,259,193,382,293,142
E01002887,Kensington and Chelsea 010A,161,130,475,381,259
E01002888,Kensington and Chelsea 013E,201,163,738,728,518
E01002889,Kensington and Chelsea 010B,172,161,285,342,298
E01002890,Kensington and Chelsea 010C,458,251,213,378,233
E01002891,Kensington and Chelsea 010D,245,120,358,418,312
E01002892,Kensington and Chelsea 010E,275,104,496,584,397
E01002893,Kensington and Chelsea 017C,219,185,590,410,329
E01002894,Kensington and Chelsea 017D,171,113,472,328,232
E01002895,Kensington and Chelsea 020B,317,155,240,146,195
E01002896,Kensington and Chelsea 020C,280,140,402,301,210
E01002897,Kensington and Chelsea 020D,163,120,402,268,232
E01002898,Kensington and Chelsea 017E,344,230,354,293,185
E01002899,Kensington and Chelsea 018A,168,254,470,279,195
E01002900,Kensington and Chelsea 018B,239,197,210,199,182
E01002901,Kensington and Chelsea 018C,129,521,256,142,115
E01002902,Kensington and Chelsea 018D,196,252,559,322,246
E01002903,Kensington and Chelsea 018E,269,234,199,173,130
E01002904,Kensington and Chelsea 002A,294,109,327,641,409
E01002905,Kensington and Chelsea 002B,364,156,407,678,460
E01002906,Kensington and Chelsea 002C,347,248,407,606,434
E01002907,Kensington and Chelsea 002D,441,157,341,659,476
E01002908,Kensington and Chelsea 003D,272,164,304,377,252
E01002909,Kensington and Chelsea 003E,320,216,684,569,366
E01002910,Kensington and Chelsea 019C,198,276,382,258,209
E01002911,Kensington and Chelsea 019D,315,137,267,230,198
E01002912,Kensington and Chelsea 020E,217,294,412,320,206
E01002913,Kensington and Chelsea 021E,322,172,439,532,369
E01002914,Kensington and Chelsea 019E,222,309,366,217,175
E01003013,Lambeth 036A,137,82,565,800,348
E01003014,Lambeth 036B,196,176,437,476,383
E01003015,Lambeth 002A,331,153,496,815,479
E01003016,Lambeth 036C,96,77,343,666,688
E01003017,Lambeth 036D,234,182,577,529,310
E01003018,Lambeth 020A,262,101,656,583,314
E01003019,Lambeth 015A,260,139,514,656,268
E01003020,Lambeth 016A,306,116,480,724,331
E01003021,Lambeth 021A,317,240,420,855,590
E01003022,Lambeth 021B,301,116,424,633,298
E01003023,Lambeth 021C,366,134,662,931,384
E01003024,Lambeth 021D,458,103,518,1147,445
E01003025,Lambeth 021E,474,164,456,1049,432
E01003026,Lambeth 019A,189,90,288,247,117
E01003027,Lambeth 019B,317,91,129,160,136
E01003028,Lambeth 019C,302,105,242,321,195
E01003029,Lambeth 017A,220,147,482,446,217
E01003030,Lambeth 019D,253,92,368,299,152
E01003031,Lambeth 023A,257,78,429,592,299
E01003032,Lambeth 017B,293,176,471,686,351
E01003033,Lambeth 019E,329,98,205,373,180
E01003034,Lambeth 012A,343,126,393,528,265
E01003035,Lambeth 012B,143,91,429,404,191
E01003036,Lambeth 012C,276,110,400,511,240
E01003037,Lambeth 013A,248,108,394,611,308
E01003038,Lambeth 013B,210,94,316,248,142
E01003039,Lambeth 013C,291,100,464,386,183
E01003040,Lambeth 013D,213,106,304,335,161
E01003041,Lambeth 017C,308,171,471,732,321
E01003042,Lambeth 013E,138,97,319,295,153
E01003043,Lambeth 018A,238,146,426,668,290
E01003044,Lambeth 018B,294,65,418,945,377
E01003045,Lambeth 011A,576,145,493,1468,644
E01003046,Lambeth 009A,517,81,529,1194,518
E01003047,Lambeth 011B,308,111,578,881,413
E01003048,Lambeth 009B,535,109,519,1274,567
E01003049,Lambeth 011C,475,112,447,1052,456
E01003050,Lambeth 016B,206,104,533,659,351
E01003051,Lambeth 018C,409,55,485,1008,495
E01003052,Lambeth 016C,500,102,528,1299,581
E01003053,Lambeth 015B,152,114,446,484,211
E01003054,Lambeth 015C,137,57,515,370,192
E01003055,Lambeth 016D,130,134,527,551,286
E01003056,Lambeth 015D,216,92,546,685,313
E01003057,Lambeth 017D,290,99,473,827,364
E01003058,Lambeth 015E,188,103,503,632,295
E01003059,Lambeth 011D,379,130,419,952,429
E01003060,Lambeth 011E,367,137,447,987,472
E01003061,Lambeth 011F,212,60,429,592,297
E01003062,Lambeth 033A,314,106,409,561,215
E01003063,Lambeth 033B,363,120,380,746,342
E01003064,Lambeth 028A,331,91,247,446,199
E01003065,Lambeth 031A,400,147,359,847,324
E01003066,Lambeth 028B,412,158,384,847,403
E01003067,Lambeth 033C,332,141,238,512,240
E01003068,Lambeth 031B,473,126,328,763,309
E01003069,Lambeth 033D,398,120,212,564,291
E01003070,Lambeth 033E,379,101,365,878,413
E01003071,Lambeth 018D,355,115,565,705,312
E01003072,Lambeth 014A,417,245,331,399,196
E01003073,Lambeth 014B,412,122,348,842,351
E01003074,Lambeth 018E,449,123,682,889,415
E01003075,Lambeth 009C,453,126,477,1101,452
E01003076,Lambeth 014C,329,75,575,844,373
E01003077,Lambeth 014D,313,101,503,790,388
E01003078,Lambeth 014E,308,187,257,423,198
E01003079,Lambeth 027A,449,194,423,940,373
E01003080,Lambeth 027B,352,108,253,614,281
E01003081,Lambeth 028C,422,91,434,878,368
E01003082,Lambeth 031C,349,196,328,748,300
E01003083,Lambeth 030A,331,176,236,616,243
E01003084,Lambeth 030B,375,107,281,612,257
E01003085,Lambeth 030C,435,219,239,671,252
E01003086,Lambeth 031D,506,105,351,974,437
E01003087,Lambeth 031E,559,140,378,997,425
E01003088,Lambeth 010A,344,91,496,828,421
E01003089,Lambeth 008A,488,70,451,1087,554
E01003090,Lambeth 012D,240,100,662,710,362
E01003091,Lambeth 008B,396,88,412,758,371
E01003092,Lambeth 008C,401,163,476,906,460
E01003093,Lambeth 010B,667,165,662,1489,631
E01003094,Lambeth 010C,203,156,424,595,305
E01003095,Lambeth 012E,322,114,382,515,294
E01003096,Lambeth 010D,148,125,643,588,322
E01003097,Lambeth 006A,309,200,512,747,426
E01003098,Lambeth 005A,318,145,372,586,329
E01003099,Lambeth 005B,313,89,453,663,337
E01003100,Lambeth 005C,152,60,615,439,231
E01003101,Lambeth 003A,328,78,471,655,322
E01003102,Lambeth 004A,174,178,573,540,286
E01003104,Lambeth 004C,209,108,543,568,277
E01003105,Lambeth 003B,339,183,542,862,374
E01003106,Lambeth 003C,373,175,544,703,318
E01003107,Lambeth 003D,276,143,548,579,269
E01003108,Lambeth 002B,339,160,530,779,370
E01003109,Lambeth 003E,435,153,774,1054,540
E01003110,Lambeth 002C,285,191,485,535,305
E01003111,Lambeth 002D,362,185,471,933,432
E01003112,Lambeth 002E,260,143,516,746,386
E01003113,Lambeth 032A,398,122,410,831,397
E01003114,Lambeth 032B,351,107,374,708,310
E01003115,Lambeth 034A,356,86,376,744,292
E01003116,Lambeth 029A,331,200,231,647,274
E01003117,Lambeth 029B,310,183,451,724,330
E01003118,Lambeth 029C,299,191,305,582,297
E01003119,Lambeth 032C,337,116,421,635,363
E01003120,Lambeth 032D,344,99,618,801,418
E01003121,Lambeth 006B,417,115,474,986,449
E01003122,Lambeth 004D,288,108,579,733,369
E01003123,Lambeth 006C,224,101,383,360,192
E01003124,Lambeth 006D,259,114,430,565,338
E01003125,Lambeth 006E,512,147,472,1074,475
E01003126,Lambeth 008D,353,97,446,735,384
E01003127,Lambeth 010E,324,129,460,657,361
E01003128,Lambeth 008E,334,96,488,773,366
E01003129,Lambeth 004E,281,113,530,670,376
E01003130,Lambeth 026A,315,152,398,632,265
E01003131,Lambeth 026B,281,111,289,398,206
E01003132,Lambeth 024A,382,235,316,825,356
E01003133,Lambeth 027C,356,101,388,578,302
E01003134,Lambeth 027D,332,153,278,588,264
E01003135,Lambeth 026C,321,121,398,657,313
E01003136,Lambeth 022A,313,94,447,634,307
E01003137,Lambeth 022B,334,119,433,813,345
E01003138,Lambeth 026D,235,109,275,280,147
E01003139,Lambeth 035A,387,161,207,868,314
E01003140,Lambeth 035B,373,166,137,940,297
E01003141,Lambeth 034B,401,203,336,923,354
E01003142,Lambeth 035C,340,189,153,831,303
E01003143,Lambeth 035D,341,201,220,923,344
E01003144,Lambeth 034C,354,216,110,576,274
E01003145,Lambeth 034D,285,153,454,717,315
E01003146,Lambeth 035E,380,111,236,852,346
E01003147,Lambeth 034E,441,166,377,932,384
E01003148,Lambeth 032E,411,100,363,695,300
E01003149,Lambeth 030D,359,225,238,710,290
E01003150,Lambeth 032F,395,144,444,798,356
E01003151,Lambeth 026E,600,169,548,1171,502
E01003152,Lambeth 027E,399,159,317,809,302
E01003153,Lambeth 029D,236,116,546,653,302
E01003154,Lambeth 030E,425,169,416,916,435
E01003155,Lambeth 029E,316,150,348,688,293
E01003156,Lambeth 023B,304,147,294,425,215
E01003157,Lambeth 023C,351,106,199,419,190
E01003158,Lambeth 023D,228,116,269,196,95
E01003159,Lambeth 022C,336,94,332,731,318
E01003160,Lambeth 022D,416,76,362,953,405
E01003161,Lambeth 023E,262,128,259,419,185
E01003162,Lambeth 022E,628,136,514,1393,573
E01003163,Lambeth 023F,288,191,215,545,226
E01003164,Lambeth 025A,461,127,557,929,399
E01003165,Lambeth 025B,372,205,312,599,256
E01003166,Lambeth 028D,504,125,555,911,386
E01003167,Lambeth 028E,414,177,219,397,185
E01003168,Lambeth 025C,410,148,335,681,415
E01003169,Lambeth 025D,534,150,556,1030,428
E01003170,Lambeth 025E,418,272,261,419,176
E01003171,Lambeth 020B,300,122,497,746,321
E01003172,Lambeth 024B,477,138,476,1076,456
E01003173,Lambeth 020C,263,134,333,622,219
E01003174,Lambeth 024C,616,92,550,1403,521
E01003175,Lambeth 024D,473,95,338,1011,422
E01003176,Lambeth 016E,555,150,575,1099,472
E01003177,Lambeth 020D,309,97,418,726,311
E01003178,Lambeth 020E,202,129,405,519,244
E01003179,Lambeth 024E,478,80,431,1107,515
E01003180,Lambeth 005D,268,116,385,728,372
E01003181,Lambeth 007A,266,141,437,715,353
E01003182,Lambeth 009D,389,121,442,931,491
E01003183,Lambeth 005E,287,131,396,797,423
E01003184,Lambeth 007B,433,75,416,984,418
E01003185,Lambeth 007C,266,119,541,668,334
E01003186,Lambeth 007D,334,98,507,703,382
E01003187,Lambeth 007E,286,122,389,1050,473
E01003188,Lambeth 009E,316,89,360,882,412
E01003911,Southwark 020A,557,90,478,1248,472
E01003912,Southwark 019A,516,101,365,1239,492
E01003913,Southwark 024A,314,164,452,641,390
E01003914,Southwark 024B,351,150,378,716,395
E01003915,Southwark 024C,407,150,481,1184,522
E01003916,Southwark 020B,420,108,508,1142,693
E01003917,Southwark 020C,326,174,501,856,442
E01003918,Southwark 020D,415,145,459,1058,482
E01003919,Southwark 021A,341,108,430,897,428
E01003920,Southwark 021B,530,118,549,1276,499
E01003921,Southwark 021C,268,103,526,852,392
E01003922,Southwark 021D,449,128,564,1170,488
E01003923,Southwark 017A,323,106,466,837,389
E01003924,Southwark 021E,468,135,599,1412,512
E01003925,Southwark 020E,347,143,327,781,374
E01003926,Southwark 021F,354,130,363,915,398
E01003927,Southwark 002A,237,158,705,691,714
E01003929,Southwark 002B,212,136,740,636,389
E01003930,Southwark 034A,167,90,317,597,740
E01003932,Southwark 034B,236,117,475,844,614
E01003933,Southwark 034C,223,126,308,751,798
E01003934,Southwark 002C,169,202,526,491,240
E01003935,Southwark 002D,146,83,297,613,576
E01003936,Southwark 009A,109,47,302,590,796
E01003937,Southwark 009B,167,62,523,695,370
E01003938,Southwark 006A,357,91,530,934,470
E01003939,Southwark 002E,246,74,578,844,396
E01003940,Southwark 006B,368,97,444,900,425
E01003941,Southwark 006C,213,118,610,701,430
E01003942,Southwark 006D,327,133,384,944,635
E01003943,Southwark 009C,331,91,400,901,404
E01003945,Southwark 033A,320,231,224,511,158
E01003946,Southwark 033B,436,294,221,644,291
E01003947,Southwark 033C,459,145,350,871,376
E01003948,Southwark 033D,298,154,285,453,232
E01003949,Southwark 032A,349,146,371,510,215
E01003950,Southwark 032B,444,193,441,919,470
E01003951,Southwark 033E,361,216,153,428,290
E01003952,Southwark 030A,309,136,294,430,206
E01003953,Southwark 028A,298,156,493,641,290
E01003954,Southwark 030B,322,150,250,460,163
E01003955,Southwark 028B,296,180,356,577,261
E01003956,Southwark 030C,338,123,264,451,150
E01003957,Southwark 032C,379,170,260,458,216
E01003958,Southwark 032D,374,163,283,462,192
E01003960,Southwark 012A,337,139,481,751,538
E01003961,Southwark 012B,457,242,649,1128,586
E01003963,Southwark 016A,422,86,473,1055,527
E01003964,Southwark 015A,423,113,447,1046,539
E01003966,Southwark 015B,414,172,536,1090,698
E01003967,Southwark 016B,412,108,444,1137,546
E01003968,Southwark 015C,407,114,339,1075,485
E01003969,Southwark 017B,323,109,471,794,421
E01003970,Southwark 016C,391,118,367,932,432
E01003971,Southwark 015D,626,120,384,1299,592
E01003972,Southwark 016D,397,89,483,927,411
E01003973,Southwark 016E,387,132,557,788,372
E01003974,Southwark 015E,332,112,329,850,380
E01003975,Southwark 004A,441,90,439,787,442
E01003976,Southwark 003A,353,116,612,794,463
E01003977,Southwark 010A,303,191,512,606,441
E01003978,Southwark 004B,314,83,571,702,417
E01003979,Southwark 006E,262,166,554,729,465
E01003980,Southwark 013A,259,165,630,758,688
E01003981,Southwark 006F,198,123,491,743,526
E01003983,Southwark 018A,596,160,476,1466,637
E01003984,Southwark 023A,341,205,553,1136,543
E01003986,Southwark 011A,301,162,374,571,358
E01003987,Southwark 011B,410,226,440,739,465
E01003988,Southwark 018B,526,222,613,1411,579
E01003989,Southwark 018C,629,80,466,1388,624
E01003990,Southwark 018D,605,165,458,1499,592
E01003991,Southwark 017C,218,221,375,586,335
E01003992,Southwark 014A,404,127,406,845,422
E01003993,Southwark 017D,495,118,412,1168,455
E01003994,Southwark 012E,257,119,423,708,441
E01003995,Southwark 014B,255,122,545,606,320
E01003997,Southwark 017E,257,82,290,571,353
E01003998,Southwark 014D,171,133,410,391,269
E01003999,Southwark 014E,307,95,399,657,334
E01004000,Southwark 026A,368,164,493,1047,453
E01004001,Southwark 026B,459,188,380,1005,430
E01004002,Southwark 029A,343,129,226,562,325
E01004003,Southwark 023B,367,153,485,1105,492
E01004004,Southwark 023C,483,191,663,1343,601
E01004005,Southwark 023D,559,217,589,1499,638
E01004006,Southwark 023E,358,169,408,1027,565
E01004007,Southwark 018E,376,104,266,964,401
E01004008,Southwark 022B,554,148,522,1567,681
E01004010,Southwark 022D,381,78,373,1043,441
E01004011,Southwark 019B,678,102,415,1710,648
E01004012,Southwark 019C,688,99,552,1675,654
E01004013,Southwark 019D,470,98,352,1224,529
E01004014,Southwark 019E,459,168,490,1293,555
E01004015,Southwark 028C,325,144,292,435,192
E01004016,Southwark 029B,581,203,386,829,400
E01004017,Southwark 029C,320,185,207,374,215
E01004018,Southwark 032E,397,166,265,435,214
E01004019,Southwark 026C,575,114,434,1233,487
E01004020,Southwark 029D,476,124,420,1033,433
E01004021,Southwark 028D,303,139,504,517,277
E01004022,Southwark 004C,414,226,782,864,508
E01004023,Southwark 004D,291,189,455,513,304
E01004024,Southwark 011C,377,187,559,694,517
E01004027,Southwark 003E,306,87,707,817,448
E01004028,Southwark 004E,350,100,479,674,388
E01004029,Southwark 001A,246,48,445,720,319
E01004030,Southwark 007A,176,122,457,439,279
E01004031,Southwark 007B,396,158,550,888,531
E01004032,Southwark 001B,194,46,342,653,315
E01004033,Southwark 007C,302,155,445,655,396
E01004034,Southwark 007D,376,148,390,573,383
E01004035,Southwark 011D,365,192,450,698,422
E01004036,Southwark 007E,566,146,567,1031,574
E01004037,Southwark 010B,438,80,555,845,505
E01004038,Southwark 010C,631,51,503,1146,554
E01004039,Southwark 013B,325,69,373,754,439
E01004040,Southwark 013C,496,130,446,1143,510
E01004041,Southwark 013D,416,122,454,815,444
E01004042,Southwark 010D,302,237,494,508,474
E01004043,Southwark 010E,212,182,308,278,284
E01004044,Southwark 013E,362,117,338,687,366
E01004045,Southwark 027A,470,65,377,1094,419
E01004046,Southwark 028E,334,123,291,573,254
E01004047,Southwark 027B,447,123,353,1023,431
E01004048,Southwark 027C,351,102,305,622,252
E01004049,Southwark 027D,382,79,303,986,633
E01004050,Southwark 024D,241,94,296,377,248
E01004051,Southwark 027E,222,136,311,346,210
E01004052,Southwark 024E,292,170,380,550,228
E01004053,Southwark 001C,205,93,371,506,233
E01004054,Southwark 001D,188,60,286,452,206
E01004055,Southwark 001E,273,146,232,352,296
E01004056,Southwark 008A,296,134,434,595,441
E01004057,Southwark 008B,250,80,303,469,249
E01004058,Southwark 008C,124,38,419,438,191
E01004059,Southwark 008D,88,29,365,527,278
E01004060,Southwark 008E,376,191,460,814,413
E01004061,Southwark 025A,296,134,379,637,313
E01004062,Southwark 025B,443,201,533,1022,387
E01004063,Southwark 025C,305,196,447,776,354
E01004064,Southwark 026D,496,185,479,1077,482
E01004065,Southwark 025D,309,116,261,505,223
E01004066,Southwark 025E,547,122,490,1142,531
E01004067,Southwark 022E,500,159,579,1523,661
E01004068,Southwark 026E,495,305,494,1229,523
E01004069,Southwark 031A,421,183,67,285,126
E01004070,Southwark 031B,473,219,277,427,242
E01004071,Southwark 030D,345,166,302,467,260
E01004072,Southwark 030E,445,158,152,331,195
E01004073,Southwark 031C,489,177,234,361,176
E01004074,Southwark 031D,539,219,151,375,199
E01004075,Southwark 031E,553,232,97,255,150
E01004197,Tower Hamlets 002A,469,107,633,1156,709
E01004198,Tower Hamlets 002B,320,173,422,857,546
E01004199,Tower Hamlets 002C,509,134,393,1093,618
E01004200,Tower Hamlets 005A,188,43,434,586,559
E01004201,Tower Hamlets 002D,351,116,382,639,435
E01004202,Tower Hamlets 005B,310,64,487,822,515
E01004203,Tower Hamlets 005C,340,98,480,750,453
E01004204,Tower Hamlets 005D,330,223,430,872,618
E01004205,Tower Hamlets 013A,585,100,463,1685,1014
E01004206,Tower Hamlets 013B,349,119,420,1092,692
E01004207,Tower Hamlets 011A,314,103,347,841,578
E01004208,Tower Hamlets 013C,270,53,549,1020,713
E01004209,Tower Hamlets 011B,416,80,313,1008,577
E01004211,Tower Hamlets 013D,138,64,539,592,431
E01004212,Tower Hamlets 011D,326,88,538,997,788
E01004214,Tower Hamlets 030A,514,114,394,955,585
E01004215,Tower Hamlets 028A,593,174,732,1460,787
E01004216,Tower Hamlets 030B,279,99,359,651,345
E01004217,Tower Hamlets 030C,338,172,424,656,403
E01004218,Tower Hamlets 030D,312,106,329,615,367
E01004219,Tower Hamlets 028B,583,90,593,1654,809
E01004221,Tower Hamlets 028D,354,78,399,794,440
E01004222,Tower Hamlets 001A,626,277,688,1133,808
E01004223,Tower Hamlets 001B,438,238,569,840,519
E01004224,Tower Hamlets 001C,404,169,473,901,594
E01004225,Tower Hamlets 004A,217,65,696,534,272
E01004226,Tower Hamlets 001D,450,119,414,851,525
E01004228,Tower Hamlets 003A,316,154,419,432,355
E01004229,Tower Hamlets 004C,325,101,315,794,478
E01004230,Tower Hamlets 003B,427,189,503,888,581
E01004231,Tower Hamlets 004D,514,129,427,1143,651
E01004232,Tower Hamlets 003C,238,89,302,514,436
E01004233,Tower Hamlets 003D,472,198,494,947,563
E01004234,Tower Hamlets 003E,402,147,463,565,436
E01004235,Tower Hamlets 008A,423,95,325,1064,497
E01004236,Tower Hamlets 008B,544,104,298,1325,745
E01004237,Tower Hamlets 008C,281,79,334,681,356
E01004238,Tower Hamlets 008D,721,112,713,1995,1016
E01004239,Tower Hamlets 008E,488,144,292,1122,608
E01004240,Tower Hamlets 012A,606,106,329,1221,680
E01004241,Tower Hamlets 012B,505,106,336,1121,674
E01004242,Tower Hamlets 012C,705,87,605,1683,919
E01004243,Tower Hamlets 020A,567,129,375,1173,727
E01004244,Tower Hamlets 020B,545,212,467,1161,666
E01004245,Tower Hamlets 018A,601,55,223,1207,655
E01004246,Tower Hamlets 018B,482,129,424,1004,563
E01004247,Tower Hamlets 020C,523,135,491,1182,805
E01004248,Tower Hamlets 018C,485,106,279,953,491
E01004249,Tower Hamlets 018D,634,104,475,1354,729
E01004250,Tower Hamlets 020D,711,169,516,1436,832
E01004251,Tower Hamlets 023A,555,187,474,1330,715
E01004252,Tower Hamlets 024A,672,138,729,1657,825
E01004253,Tower Hamlets 024B,706,179,505,1379,767
E01004254,Tower Hamlets 023B,244,41,533,719,304
E01004255,Tower Hamlets 023C,392,60,423,1097,625
E01004256,Tower Hamlets 024C,472,149,367,1094,662
E01004257,Tower Hamlets 024D,628,118,371,1258,733
E01004258,Tower Hamlets 023D,247,120,342,557,305
E01004259,Tower Hamlets 007A,264,96,594,673,383
E01004260,Tower Hamlets 007B,466,135,418,1031,554
E01004261,Tower Hamlets 010A,376,94,400,1500,1854
E01004262,Tower Hamlets 010B,280,114,323,957,1001
E01004263,Tower Hamlets 007C,371,157,337,716,477
E01004264,Tower Hamlets 010C,447,120,306,1243,762
E01004266,Tower Hamlets 007D,325,132,328,560,415
E01004267,Tower Hamlets 012D,356,62,424,933,610
E01004268,Tower Hamlets 012E,482,114,464,1237,734
E01004269,Tower Hamlets 014A,433,178,508,1195,790
E01004270,Tower Hamlets 014B,394,80,462,1038,852
E01004271,Tower Hamlets 014C,515,92,357,1170,551
E01004272,Tower Hamlets 014D,727,119,385,1711,926
E01004273,Tower Hamlets 014E,595,110,331,1556,860
E01004274,Tower Hamlets 031A,498,85,308,1277,764
E01004275,Tower Hamlets 031B,387,110,394,598,371
E01004276,Tower Hamlets 031C,182,41,430,604,231
E01004277,Tower Hamlets 033A,152,45,508,635,203
E01004280,Tower Hamlets 032A,461,103,406,1023,514
E01004281,Tower Hamlets 031D,259,24,482,731,347
E01004283,Tower Hamlets 016A,570,237,499,1432,931
E01004284,Tower Hamlets 019A,585,137,507,1540,794
E01004285,Tower Hamlets 019B,779,123,356,1862,1023
E01004286,Tower Hamlets 019C,677,168,468,1526,914
E01004287,Tower Hamlets 016B,559,230,566,1433,715
E01004288,Tower Hamlets 019D,515,147,328,1133,590
E01004289,Tower Hamlets 016C,413,177,406,1118,732
E01004290,Tower Hamlets 016D,174,160,391,548,359
E01004291,Tower Hamlets 027A,186,124,542,447,246
E01004292,Tower Hamlets 026A,186,70,371,488,241
E01004293,Tower Hamlets 027B,220,158,596,519,295
E01004294,Tower Hamlets 026B,210,87,552,708,377
E01004295,Tower Hamlets 026C,476,92,328,1197,594
E01004296,Tower Hamlets 026D,335,104,401,883,465
E01004297,Tower Hamlets 027C,223,120,404,440,247
E01004298,Tower Hamlets 022A,383,136,459,1154,724
E01004300,Tower Hamlets 022B,360,134,335,898,452
E01004301,Tower Hamlets 025B,386,79,248,989,544
E01004302,Tower Hamlets 025C,630,76,445,1627,812
E01004303,Tower Hamlets 025D,562,149,571,1303,703
E01004304,Tower Hamlets 022C,539,133,457,1489,831
E01004305,Tower Hamlets 022D,533,183,442,1268,705
E01004306,Tower Hamlets 015A,292,114,492,982,606
E01004307,Tower Hamlets 015B,157,49,761,706,719
E01004308,Tower Hamlets 015C,306,111,345,925,580
E01004309,Tower Hamlets 015D,505,161,677,1830,1501
E01004310,Tower Hamlets 015E,304,136,598,1201,811
E01004311,Tower Hamlets 006A,318,153,469,727,473
E01004312,Tower Hamlets 009A,360,162,453,1013,593
E01004313,Tower Hamlets 009B,503,133,593,1098,613
E01004314,Tower Hamlets 006B,176,117,267,250,176
E01004315,Tower Hamlets 006C,209,148,497,698,507
E01004316,Tower Hamlets 009C,224,47,334,604,411
E01004317,Tower Hamlets 009D,345,91,874,1119,698
E01004318,Tower Hamlets 006D,362,74,447,819,459
E01004319,Tower Hamlets 021A,453,140,406,1492,908
E01004321,Tower Hamlets 021C,359,148,525,1333,851
E01004322,Tower Hamlets 017A,259,102,379,790,528
E01004323,Tower Hamlets 017B,296,101,300,882,561
E01004324,Tower Hamlets 017C,437,103,312,1158,657
E01004325,Tower Hamlets 021D,317,93,806,1210,711
E01004326,Tower Hamlets 017D,287,105,469,843,489
E01004472,Wandsworth 021A,277,164,281,317,165
E01004473,Wandsworth 026A,231,140,331,355,158
E01004474,Wandsworth 021B,184,90,550,472,216
E01004475,Wandsworth 026B,201,99,295,375,161
E01004476,Wandsworth 021C,172,121,475,407,199
E01004477,Wandsworth 017A,419,178,130,133,99
E01004478,Wandsworth 017B,411,130,112,237,126
E01004479,Wandsworth 017C,374,115,192,180,142
E01004480,Wandsworth 026C,190,111,287,390,140
E01004481,Wandsworth 029A,200,103,350,531,223
E01004482,Wandsworth 030A,292,152,278,563,232
E01004483,Wandsworth 026D,323,117,420,720,213
E01004484,Wandsworth 026E,205,111,310,384,201
E01004485,Wandsworth 030B,271,185,324,438,206
E01004486,Wandsworth 026F,164,144,405,296,149
E01004487,Wandsworth 030C,269,85,370,382,286
E01004488,Wandsworth 029B,305,112,270,377,227
E01004489,Wandsworth 030D,324,82,288,342,161
E01004490,Wandsworth 031A,285,125,166,227,130
E01004491,Wandsworth 031B,353,103,555,1004,629
E01004492,Wandsworth 031C,287,119,318,533,267
E01004493,Wandsworth 019A,270,111,308,384,235
E01004494,Wandsworth 018A,267,121,367,466,255
E01004495,Wandsworth 024A,380,96,233,796,438
E01004496,Wandsworth 024B,177,97,423,347,196
E01004497,Wandsworth 024C,325,160,153,289,171
E01004498,Wandsworth 031D,233,106,268,250,155
E01004499,Wandsworth 020A,237,110,311,332,172
E01004500,Wandsworth 014A,142,242,418,309,162
E01004501,Wandsworth 014B,267,165,322,354,213
E01004502,Wandsworth 020B,346,137,200,282,142
E01004503,Wandsworth 014C,256,176,310,330,229
E01004504,Wandsworth 020C,349,167,139,404,224
E01004505,Wandsworth 014D,163,264,372,353,141
E01004506,Wandsworth 011A,230,200,419,361,171
E01004507,Wandsworth 014E,176,195,486,377,155
E01004508,Wandsworth 012A,224,127,510,383,202
E01004509,Wandsworth 010A,176,123,580,497,252
E01004510,Wandsworth 012B,236,116,429,418,157
E01004511,Wandsworth 010B,249,102,283,239,93
E01004512,Wandsworth 019B,334,108,192,247,149
E01004513,Wandsworth 018B,332,182,461,649,296
E01004514,Wandsworth 012C,212,125,290,246,137
E01004515,Wandsworth 012D,226,99,369,549,233
E01004516,Wandsworth 036A,467,151,106,622,430
E01004517,Wandsworth 037A,439,129,371,849,367
E01004518,Wandsworth 036B,442,171,204,617,290
E01004519,Wandsworth 036C,447,180,253,878,310
E01004520,Wandsworth 036D,376,164,147,680,268
E01004521,Wandsworth 037B,489,138,308,937,410
E01004522,Wandsworth 037C,420,129,267,760,326
E01004523,Wandsworth 036E,311,242,324,522,247
E01004524,Wandsworth 037D,369,223,481,836,455
E01004525,Wandsworth 035A,333,124,377,1029,473
E01004526,Wandsworth 035B,247,151,384,770,354
E01004527,Wandsworth 035C,357,177,265,852,365
E01004528,Wandsworth 035D,336,144,349,808,358
E01004529,Wandsworth 035E,371,151,459,820,323
E01004530,Wandsworth 035F,309,173,385,772,396
E01004531,Wandsworth 033A,417,176,313,897,344
E01004532,Wandsworth 032A,278,123,289,497,228
E01004533,Wandsworth 033B,325,114,269,622,317
E01004534,Wandsworth 008A,224,145,326,285,123
E01004535,Wandsworth 007A,532,108,502,1186,531
E01004536,Wandsworth 008B,328,134,596,834,407
E01004537,Wandsworth 007B,411,178,574,966,472
E01004538,Wandsworth 007C,406,188,594,899,390
