LSOA11CD,LSOA11NM,Youth(<18),Elderly(>64),No_car_household,Minority_population,Unemployed/Below_poverty
E01001777,Hackney 027B,467,113,808,1066,658
E01001779,Hackney 026A,516,132,792,1226,759
E01001780,Hackney 027D,317,157,698,882,524
E01001781,Hackney 026B,348,137,550,778,607
E01001782,Hackney 026C,377,129,658,807,559
E01001783,Hackney 026D,410,138,645,1141,712
E01001784,Hackney 027E,373,140,587,1089,993
E01001785,Hackney 015B,312,164,324,740,434
E01001786,Hackney 013A,568,133,442,1342,639
E01001787,Hackney 013B,486,241,381,1022,516
E01001788,Hackney 013C,487,174,455,1051,524
E01001789,Hackney 015C,401,131,355,817,417
E01001790,Hackney 013D,441,77,318,1024,492
E01001791,Hackney 015D,449,104,253,970,533
E01001792,Hackney 011A,390,162,320,979,495
E01001793,Hackney 011B,327,124,370,819,365
E01001794,Hackney 011C,349,240,334,893,524
E01001795,Hackney 011D,268,100,345,627,365
E01001796,Hackney 011E,290,79,489,827,468
E01001798,Hackney 028A,498,165,463,1181,603
E01001799,Hackney 003A,619,92,285,390,373
E01001800,Hackney 004C,547,110,459,644,506
E01001801,Hackney 008B,547,211,349,466,409
E01001802,Hackney 003B,377,148,292,443,387
E01001803,Hackney 008C,505,134,381,454,313
E01001804,Hackney 003C,553,128,265,418,408
E01001805,Hackney 009B,210,68,300,372,244
E01001806,Hackney 008D,297,144,418,560,358
E01001807,Hackney 003D,511,117,420,706,486
E01001808,Hackney 001A,718,95,334,378,546
E01001809,Hackney 001B,755,170,373,639,511
E01001811,Hackney 002D,358,166,439,865,573
E01001812,Hackney 003E,609,119,394,540,559
E01001813,Hackney 002E,306,105,383,734,462
E01001814,Hackney 001C,535,105,319,603,437
E01001815,Hackney 024D,415,162,408,1000,584
E01001816,Hackney 020D,364,145,342,610,380
E01001819,Hackney 020E,273,179,371,504,308
E01001820,Hackney 024E,314,150,363,794,481
E01001821,Hackney 024F,322,141,452,795,470
E01001822,Hackney 029C,547,134,500,1041,659
E01001823,Hackney 001D,706,88,269,678,564
E01001824,Hackney 004D,565,121,335,667,513
E01001825,Hackney 001E,730,89,216,299,429
E01001826,Hackney 004E,630,126,395,673,510
E01001827,Hackney 029D,692,152,452,921,622
E01001828,Hackney 028B,607,140,527,1301,668
E01001829,Hackney 009C,386,111,334,407,252
E01001830,Hackney 014C,282,209,685,934,493
E01001831,Hackney 009D,244,152,480,623,320
E01001832,Hackney 009E,248,111,360,709,387
E01001833,Hackney 014D,431,112,619,1006,585
E01001834,Hackney 014E,370,96,568,839,404
E01001835,Hackney 014F,212,86,266,455,253
E01001836,Hackney 022A,426,148,510,699,391
E01001837,Hackney 023B,247,113,340,353,188
E01001838,Hackney 019E,523,141,512,1185,662
E01001839,Hackney 023C,353,75,689,865,575
E01001840,Hackney 022B,417,167,459,919,531
E01001841,Hackney 022C,290,156,355,377,338
E01001842,Hackney 023D,426,77,397,910,497
E01001843,Hackney 023E,302,96,252,561,290
E01001844,Hackney 022D,397,113,461,712,602
E01001845,Hackney 022E,378,164,461,833,483
E01001846,Hackney 018A,280,161,301,699,354
E01001847,Hackney 018B,268,85,287,583,309
E01001848,Hackney 018C,396,186,377,746,482
E01001849,Hackney 018D,564,99,561,1263,679
E01001850,Hackney 019F,606,115,455,1271,616
E01001851,Hammersmith and Fulham 010A,355,121,289,267,142
E01001852,Hammersmith and Fulham 007A,164,112,579,477,285
E01001853,Hammersmith and Fulham 007B,275,94,362,325,184
E01001854,Hammersmith and Fulham 007C,227,139,592,512,287
E01001855,Hammersmith and Fulham 010B,213,100,523,353,255
E01001856,Hammersmith and Fulham 010C,360,93,433,598,391
